ZIPCode,State,City,County,Latitude,Longitude
03901,ME,Berwick,York,43.29,-70.84
03902,ME,Cape Neddick,York,43.21,-70.63
03903,ME,South Eliot,York,43.15,-70.79
03904,ME,Kittery,York,43.1,-70.74
03905,ME,Kittery Point,York,43.08,-70.69
03906,ME,North Berwick,York,43.33,-70.76
03907,ME,Ogunquit,York,43.25,-70.6
03908,ME,South Berwick,York,43.23,-70.78
03909,ME,York,York,43.16,-70.65
03910,ME,Cape Neddick,York,43.17,-70.61
03911,ME,York Harbor,York,43.13,-70.63
04001,ME,Acton,York,43.53,-70.92
04002,ME,Alfred,York,43.5,-70.69
04003,ME,Bailey Island,Cumberland,43.72,-70
04004,ME,Bar Mills,York,43.67,-70.6
04005,ME,Biddeford,York,43.49,-70.47
04006,ME,Biddeford,York,43.44,-70.34
04007,ME,Biddeford,York,43.47,-70.44
04008,ME,Bowdoinham,Sagadahoc,44.02,-69.88
04009,ME,Bridgton,Cumberland,44.06,-70.73
04010,ME,Brownfield,Oxford,43.94,-70.91
04011,ME,Brunswick,Cumberland,43.9,-69.95
04013,ME,Bustins Island,Cumberland,43.8,-70.07
04014,ME,Cape Porpoise,York,43.41,-70.48
04015,ME,Casco,Cumberland,43.95,-70.53
04016,ME,Center Lovell,Oxford,44.17,-70.87
04017,ME,Chebeague Island,Cumberland,43.73,-70.11
04019,ME,Portland,Cumberland,43.7,-70.11
04020,ME,Cornish,York,43.77,-70.81
04021,ME,Cumberland Center,Cumberland,43.8,-70.26
04022,ME,Denmark,Oxford,43.98,-70.81
04024,ME,East Baldwin,Cumberland,43.82,-70.68
04027,ME,Lebanon,York,43.4,-70.91
04028,ME,East Parsonsfield,York,43.77,-70.92
04029,ME,Sebago,Cumberland,43.89,-70.68
04030,ME,East Waterboro,York,43.59,-70.7
04032,ME,Freeport,Cumberland,43.85,-70.1
04033,ME,Freeport,Cumberland,43.86,-70.1
04034,ME,Freeport,Cumberland,43.86,-70.11
04037,ME,Fryeburg,Oxford,44.06,-70.95
04038,ME,Gorham,Cumberland,43.7,-70.46
04039,ME,Gray,Cumberland,43.89,-70.34
04040,ME,Harrison,Cumberland,44.12,-70.74
04041,ME,Hiram,Oxford,43.87,-70.83
04042,ME,Hollis Center,York,43.63,-70.62
04043,ME,Kennebunk,York,43.39,-70.55
04046,ME,Kennebunkport,York,43.4,-70.47
04047,ME,Parsonsfield,York,43.75,-70.89
04048,ME,Limerick,York,43.69,-70.77
04049,ME,Limington,York,43.74,-70.7
04050,ME,Long Island,Cumberland,43.69,-70.15
04051,ME,Lovell,Oxford,44.17,-70.89
04054,ME,Moody,York,43.33,-70.6
04055,ME,Naples,Cumberland,43.96,-70.61
04056,ME,Newfield,York,43.65,-70.85
04057,ME,Bridgton,Cumberland,44.1,-70.7
04061,ME,Lake Arrowhead,York,43.65,-70.73
04062,ME,Windham,Cumberland,43.81,-70.42
04063,ME,Old Orchard Beach,York,43.5,-70.39
04064,ME,Old Orchard Beach,York,43.52,-70.39
04066,ME,Orrs Island,Cumberland,43.77,-69.97
04068,ME,Porter,Oxford,43.83,-70.93
04069,ME,Pownal,Cumberland,43.91,-70.18
04070,ME,Scarborough,Cumberland,43.6,-70.33
04071,ME,Raymond,Cumberland,43.91,-70.47
04072,ME,Saco,York,43.52,-70.44
04073,ME,Sanford,York,43.43,-70.75
04074,ME,Scarborough,Cumberland,43.59,-70.35
04076,ME,Shapleigh,York,43.55,-70.85
04077,ME,South Casco,Cumberland,43.87,-70.51
04078,ME,South Freeport,Cumberland,43.82,-70.11
04079,ME,Harpswell,Cumberland,43.8,-69.95
04082,ME,South Windham,Cumberland,43.73,-70.44
04083,ME,Springvale,York,43.47,-70.8
04084,ME,Standish,Cumberland,43.76,-70.57
04085,ME,Steep Falls,Cumberland,43.77,-70.64
04086,ME,Topsham,Sagadahoc,43.94,-69.96
04087,ME,Waterboro,York,43.55,-70.74
04088,ME,Waterford,Oxford,44.19,-70.71
04090,ME,Wells,York,43.32,-70.61
04091,ME,West Baldwin,Cumberland,43.82,-70.75
04092,ME,Westbrook,Cumberland,43.68,-70.36
04093,ME,Buxton,York,43.65,-70.54
04094,ME,West Kennebunk,York,43.43,-70.63
04095,ME,West Newfield,York,43.63,-70.94
04096,ME,Yarmouth,Cumberland,43.8,-70.18
04097,ME,North Yarmouth,Cumberland,43.85,-70.23
04098,ME,Westbrook,Cumberland,43.68,-70.36
04101,ME,Portland,Cumberland,43.66,-70.26
04102,ME,Portland,Cumberland,43.66,-70.3
04103,ME,Portland,Cumberland,43.68,-70.29
04104,ME,Portland,Cumberland,43.66,-70.26
04105,ME,Falmouth,Cumberland,43.74,-70.27
04106,ME,South Portland,Cumberland,43.63,-70.28
04107,ME,Cape Elizabeth,Cumberland,43.6,-70.23
04108,ME,Portland,Cumberland,43.66,-70.19
04109,ME,Portland,Cumberland,43.67,-70.2
04110,ME,Cumberland Foreside,Cumberland,43.77,-70.2
04112,ME,Portland,Cumberland,43.67,-70.21
04116,ME,South Portland,Cumberland,43.66,-70.27
04122,ME,Portland,Cumberland,43.65,-70.33
04123,ME,Portland,Cumberland,43.66,-70.31
04124,ME,Portland,Cumberland,43.65,-70.33
04210,ME,Auburn,Androscoggin,44.09,-70.24
04211,ME,Auburn,Androscoggin,44.08,-70.25
04212,ME,Auburn,Androscoggin,44.08,-70.25
04216,ME,Andover,Oxford,44.69,-70.8
04217,ME,Bethel,Oxford,44.38,-70.82
04219,ME,Bryant Pond,Oxford,44.42,-70.62
04220,ME,Buckfield,Oxford,44.32,-70.35
04221,ME,Canton,Oxford,44.45,-70.31
04222,ME,Durham,Androscoggin,43.97,-70.13
04223,ME,Danville,Androscoggin,44.03,-70.28
04224,ME,Dixfield,Oxford,44.56,-70.42
04225,ME,Dryden,Franklin,44.59,-70.21
04226,ME,East Andover,Oxford,44.62,-70.7
04227,ME,East Dixfield,Oxford,44.57,-70.29
04228,ME,East Livermore,Androscoggin,44.43,-70.11
04230,ME,East Poland,Androscoggin,44.02,-70.39
04231,ME,Stoneham,Oxford,44.26,-70.85
04234,ME,East Wilton,Franklin,44.62,-70.19
04236,ME,Greene,Androscoggin,44.19,-70.15
04237,ME,Hanover,Oxford,44.49,-70.73
04238,ME,Hebron,Oxford,44.21,-70.38
04239,ME,Jay,Franklin,44.52,-70.22
04240,ME,Lewiston,Androscoggin,44.1,-70.19
04241,ME,Lewiston,Androscoggin,44.09,-70.17
04243,ME,Lewiston,Androscoggin,44.09,-70.17
04250,ME,Lisbon,Androscoggin,44.03,-70.11
04252,ME,Lisbon Falls,Androscoggin,44.01,-70.06
04253,ME,Livermore,Androscoggin,44.4,-70.22
04254,ME,Livermore Falls,Androscoggin,44.45,-70.16
04255,ME,Greenwood,Oxford,44.36,-70.67
04256,ME,Mechanic Falls,Androscoggin,44.11,-70.4
04257,ME,Mexico,Oxford,44.56,-70.54
04258,ME,Minot,Androscoggin,44.14,-70.34
04259,ME,Monmouth,Kennebec,44.23,-70
04260,ME,New Gloucester,Cumberland,43.97,-70.3
04261,ME,Newry,Oxford,44.57,-70.89
04262,ME,North Jay,Franklin,44.53,-70.21
04263,ME,Leeds,Androscoggin,44.3,-70.14
04265,ME,North Monmouth,Kennebec,44.28,-70.04
04266,ME,North Turner,Androscoggin,44.33,-70.26
04267,ME,North Waterford,Oxford,44.21,-70.8
04268,ME,Norway,Oxford,44.23,-70.57
04270,ME,Oxford,Oxford,44.12,-70.5
04271,ME,Paris,Oxford,44.26,-70.5
04274,ME,Poland,Androscoggin,44.05,-70.39
04275,ME,Roxbury,Oxford,44.71,-70.63
04276,ME,Rumford,Oxford,44.54,-70.57
04280,ME,Sabattus,Androscoggin,44.13,-70.08
04281,ME,South Paris,Oxford,44.23,-70.51
04282,ME,Turner,Androscoggin,44.27,-70.25
04284,ME,Wayne,Kennebec,44.35,-70.05
04285,ME,Weld,Franklin,44.7,-70.43
04286,ME,West Bethel,Oxford,44.4,-70.86
04287,ME,Bowdoin,Sagadahoc,44.06,-69.95
04288,ME,West Minot,Androscoggin,44.17,-70.37
04289,ME,West Paris,Oxford,44.33,-70.54
04290,ME,Peru,Oxford,44.5,-70.42
04291,ME,West Poland,Androscoggin,44.04,-70.45
04292,ME,Sumner,Oxford,44.36,-70.45
04294,ME,Wilton,Franklin,44.6,-70.23
04330,ME,Augusta,Kennebec,44.34,-69.76
04332,ME,Augusta,Kennebec,44.34,-69.74
04333,ME,Augusta,Kennebec,44.31,-69.78
04336,ME,Augusta,Kennebec,44.34,-69.74
04338,ME,Augusta,Kennebec,44.32,-69.78
04341,ME,Coopers Mills,Lincoln,44.27,-69.49
04342,ME,Dresden,Lincoln,44.08,-69.74
04343,ME,East Winthrop,Kennebec,44.33,-69.89
04344,ME,Farmingdale,Kennebec,44.25,-69.8
04345,ME,Gardiner,Kennebec,44.21,-69.81
04346,ME,Randolph,Kennebec,44.23,-69.76
04347,ME,Hallowell,Kennebec,44.29,-69.8
04348,ME,Jefferson,Lincoln,44.22,-69.49
04349,ME,Kents Hill,Kennebec,44.43,-70.07
04350,ME,Litchfield,Kennebec,44.17,-69.93
04351,ME,Manchester,Kennebec,44.32,-69.87
04352,ME,Mount Vernon,Kennebec,44.47,-69.96
04353,ME,Whitefield,Lincoln,44.21,-69.6
04354,ME,Palermo,Waldo,44.38,-69.41
04355,ME,Readfield,Kennebec,44.38,-69.96
04357,ME,Richmond,Sagadahoc,44.12,-69.83
04358,ME,South China,Kennebec,44.41,-69.54
04359,ME,Gardiner,Kennebec,44.18,-69.76
04360,ME,Vienna,Kennebec,44.55,-70
04363,ME,Windsor,Kennebec,44.3,-69.57
04364,ME,Winthrop,Kennebec,44.31,-69.96
04401,ME,Bangor,Penobscot,44.82,-68.8
04402,ME,Bangor,Penobscot,44.83,-68.79
04406,ME,Abbot,Piscataquis,45.22,-69.54
04408,ME,Aurora,Hancock,44.96,-68.25
04410,ME,Bradford,Penobscot,45.09,-68.91
04411,ME,Bradley,Penobscot,44.88,-68.63
04412,ME,Brewer,Penobscot,44.79,-68.75
04413,ME,Brookton,Washington,45.57,-67.74
04414,ME,Brownville,Piscataquis,45.37,-69.04
04415,ME,Brownville Junction,Piscataquis,45.36,-69.07
04416,ME,Bucksport,Hancock,44.61,-68.76
04417,ME,Burlington,Penobscot,45.21,-68.39
04418,ME,Greenbush,Penobscot,45.07,-68.54
04419,ME,Carmel,Penobscot,44.8,-69.04
04420,ME,Castine,Hancock,44.39,-68.79
04421,ME,Castine,Hancock,44.4,-68.8
04422,ME,Charleston,Penobscot,45.07,-69.04
04424,ME,Danforth,Washington,45.69,-67.86
04426,ME,Dover-Foxcroft,Piscataquis,45.2,-69.2
04427,ME,Corinth,Penobscot,44.98,-69.01
04428,ME,Eddington,Penobscot,44.8,-68.56
04429,ME,Holden,Penobscot,44.71,-68.61
04430,ME,East Millinocket,Penobscot,45.63,-68.58
04431,ME,East Orland,Hancock,44.56,-68.67
04434,ME,Etna,Penobscot,44.8,-69.13
04435,ME,Exeter,Penobscot,44.96,-69.12
04438,ME,Frankfort,Waldo,44.61,-68.92
04441,ME,Greenville,Piscataquis,45.62,-69.52
04442,ME,Greenville Junction,Piscataquis,45.5,-69.67
04443,ME,Guilford,Piscataquis,45.21,-69.4
04444,ME,Hampden,Penobscot,44.74,-68.9
04448,ME,Howland,Penobscot,45.31,-68.7
04449,ME,Hudson,Penobscot,45,-68.88
04450,ME,Kenduskeag,Penobscot,44.92,-68.93
04451,ME,Kingman,Penobscot,45.62,-68.23
04453,ME,Lagrange,Penobscot,45.17,-68.79
04454,ME,Lambert Lake,Washington,45.54,-67.54
04455,ME,Lee,Penobscot,45.34,-68.29
04456,ME,Levant,Penobscot,44.88,-69
04457,ME,Lincoln,Penobscot,45.38,-68.5
04459,ME,Mattawamkeag,Penobscot,45.57,-68.34
04460,ME,Medway,Penobscot,45.64,-68.52
04461,ME,Milford,Penobscot,44.96,-68.61
04462,ME,Millinocket,Penobscot,45.76,-68.83
04463,ME,Milo,Piscataquis,45.25,-68.93
04464,ME,Monson,Piscataquis,45.35,-69.46
04468,ME,Old Town,Penobscot,44.97,-68.69
04469,ME,Orono,Penobscot,44.9,-68.67
04471,ME,Orient,Aroostook,45.87,-67.84
04472,ME,Orland,Hancock,44.57,-68.69
04473,ME,Orono,Penobscot,44.89,-68.68
04474,ME,Orrington,Penobscot,44.72,-68.79
04475,ME,Passadumkeag,Penobscot,45.18,-68.6
04476,ME,Penobscot,Hancock,44.47,-68.72
04478,ME,Rockwood,Somerset,45.78,-69.82
04479,ME,Sangerville,Piscataquis,45.13,-69.32
04481,ME,Sebec,Piscataquis,45.24,-69.11
04485,ME,Shirley Mills,Piscataquis,45.36,-69.62
04487,ME,Springfield,Penobscot,45.36,-68.08
04488,ME,Stetson,Penobscot,44.87,-69.11
04489,ME,Old Town,Penobscot,44.91,-68.69
04490,ME,Topsfield,Washington,45.41,-67.81
04491,ME,Vanceboro,Washington,45.56,-67.44
04492,ME,Waite,Washington,45.36,-67.69
04493,ME,West Enfield,Penobscot,45.24,-68.54
04495,ME,Winn,Penobscot,45.47,-68.34
04496,ME,Winterport,Waldo,44.65,-68.88
04497,ME,Wytopitlock,Aroostook,45.75,-68.06
04530,ME,Bath,Sagadahoc,43.9,-69.83
04535,ME,Alna,Lincoln,44.08,-69.63
04537,ME,Boothbay,Lincoln,43.88,-69.63
04538,ME,Boothbay Harbor,Lincoln,43.85,-69.63
04539,ME,Bristol,Lincoln,43.97,-69.5
04541,ME,Chamberlain,Lincoln,43.89,-69.48
04543,ME,Damariscotta,Lincoln,44.04,-69.5
04544,ME,East Boothbay,Lincoln,43.84,-69.59
04547,ME,Friendship,Knox,43.98,-69.33
04548,ME,Georgetown,Sagadahoc,43.81,-69.74
04549,ME,Isle of Springs,Lincoln,43.9,-69.63
04551,ME,Bremen,Lincoln,44.02,-69.43
04553,ME,Newcastle,Lincoln,44.04,-69.57
04554,ME,New Harbor,Lincoln,43.86,-69.51
04555,ME,Nobleboro,Lincoln,44.1,-69.48
04556,ME,Edgecomb,Lincoln,43.97,-69.63
04558,ME,Pemaquid,Lincoln,43.89,-69.52
04562,ME,Phippsburg,Sagadahoc,43.78,-69.83
04563,ME,Cushing,Knox,44,-69.27
04564,ME,Round Pond,Lincoln,43.94,-69.46
04565,ME,Sebasco Estates,Sagadahoc,43.78,-69.85
04568,ME,South Bristol,Lincoln,43.87,-69.56
04570,ME,Squirrel Island,Lincoln,43.81,-69.63
04571,ME,Trevett,Lincoln,43.9,-69.67
04572,ME,Waldoboro,Lincoln,44.11,-69.37
04573,ME,Walpole,Lincoln,43.95,-69.55
04574,ME,Washington,Knox,44.26,-69.39
04575,ME,West Boothbay Harbor,Lincoln,43.85,-69.65
04576,ME,Southport,Lincoln,43.81,-69.66
04578,ME,Wiscasset,Lincoln,43.98,-69.68
04579,ME,Woolwich,Sagadahoc,43.96,-69.77
04605,ME,Ellsworth,Hancock,44.62,-68.41
04606,ME,Addison,Washington,44.55,-67.7
04607,ME,Gouldsboro,Hancock,44.47,-68.07
04609,ME,Bar Harbor,Hancock,44.39,-68.25
04611,ME,Beals,Washington,44.49,-67.6
04612,ME,Bernard,Hancock,44.25,-68.37
04613,ME,Birch Harbor,Hancock,44.37,-68.03
04614,ME,Blue Hill,Hancock,44.41,-68.58
04616,ME,Brooklin,Hancock,44.27,-68.56
04617,ME,Brooksville,Hancock,44.35,-68.73
04619,ME,Calais,Washington,45.17,-67.25
04622,ME,Cherryfield,Washington,44.73,-67.95
04623,ME,Columbia Falls,Washington,44.71,-67.78
04624,ME,Corea,Hancock,44.41,-67.98
04625,ME,Cranberry Isles,Hancock,44.27,-68.26
04626,ME,Cutler,Washington,44.67,-67.25
04627,ME,Deer Isle,Hancock,44.22,-68.66
04628,ME,Dennysville,Washington,44.87,-67.26
04629,ME,East Blue Hill,Hancock,44.41,-68.51
04630,ME,East Machias,Washington,44.81,-67.45
04631,ME,Eastport,Washington,44.91,-67
04634,ME,Franklin,Hancock,44.64,-68.24
04635,ME,Frenchboro,Hancock,44.16,-68.34
04637,ME,Grand Lake Stream,Washington,45.2,-67.78
04640,ME,Hancock,Hancock,44.54,-68.3
04642,ME,Harborside,Hancock,44.33,-68.81
04643,ME,Harrington,Washington,44.58,-67.81
04644,ME,Hulls Cove,Hancock,44.41,-68.25
04645,ME,Isle Au Haut,Knox,44.06,-68.62
04646,ME,Islesford,Hancock,44.26,-68.23
04648,ME,Jonesboro,Washington,44.67,-67.59
04649,ME,Jonesport,Washington,44.55,-67.58
04650,ME,Little Deer Isle,Hancock,44.28,-68.7
04652,ME,Lubec,Washington,44.82,-67.05
04653,ME,Bass Harbor,Hancock,44.23,-68.34
04654,ME,Machias,Washington,44.74,-67.53
04655,ME,Machiasport,Washington,44.65,-67.38
04657,ME,Meddybemps,Washington,44.98,-67.41
04658,ME,Milbridge,Washington,44.51,-67.88
04660,ME,Mount Desert,Hancock,44.34,-68.32
04662,ME,Northeast Harbor,Hancock,44.3,-68.29
04664,ME,Sullivan,Hancock,44.53,-68.15
04666,ME,Pembroke,Washington,44.97,-67.19
04667,ME,Perry,Washington,44.97,-67.08
04668,ME,Princeton,Washington,45.21,-67.59
04669,ME,Prospect Harbor,Hancock,44.41,-68.01
04671,ME,Robbinston,Washington,45.08,-67.14
04672,ME,Salsbury Cove,Hancock,44.43,-68.28
04673,ME,Sargentville,Hancock,44.31,-68.68
04674,ME,Seal Cove,Hancock,44.3,-68.41
04675,ME,Seal Harbor,Hancock,44.3,-68.25
04676,ME,Sedgwick,Hancock,44.34,-68.66
04677,ME,Sorrento,Hancock,44.49,-68.18
04679,ME,Southwest Harbor,Hancock,44.28,-68.33
04680,ME,Steuben,Washington,44.51,-67.95
04681,ME,Stonington,Hancock,44.16,-68.65
04683,ME,Sunset,Hancock,44.24,-68.76
04684,ME,Surry,Hancock,44.49,-68.52
04685,ME,Swans Island,Hancock,44.16,-68.45
04686,ME,Wesley,Washington,44.96,-67.69
04691,ME,Whiting,Washington,44.76,-67.26
04693,ME,Winter Harbor,Hancock,44.38,-68.09
04694,ME,Baileyville,Washington,45.12,-67.44
04730,ME,Houlton,Aroostook,46.13,-67.87
04732,ME,Ashland,Aroostook,46.58,-68.55
04733,ME,Benedicta,Aroostook,45.8,-68.39
04734,ME,Blaine,Aroostook,46.49,-67.88
04735,ME,Bridgewater,Aroostook,46.43,-67.84
04736,ME,Caribou,Aroostook,46.88,-68.01
04737,ME,Clayton Lake,Aroostook,46.62,-69.52
04738,ME,Crouseville,Aroostook,46.75,-68.1
04739,ME,Eagle Lake,Aroostook,47.01,-68.6
04740,ME,Easton,Aroostook,46.65,-67.86
04741,ME,Estcourt Station,Aroostook,47.45,-69.22
04742,ME,Fort Fairfield,Aroostook,46.77,-67.85
04743,ME,Fort Kent,Aroostook,47.22,-68.59
04744,ME,Fort Kent Mills,Aroostook,47.24,-68.58
04745,ME,Frenchville,Aroostook,47.28,-68.39
04746,ME,Grand Isle,Aroostook,47.28,-68.12
04747,ME,Island Falls,Aroostook,46.01,-68.26
04750,ME,Limestone,Aroostook,46.94,-67.86
04751,ME,Limestone,Aroostook,46.93,-67.91
04756,ME,Madawaska,Aroostook,47.35,-68.32
04757,ME,Mapleton,Aroostook,46.69,-68.15
04758,ME,Mars Hill,Aroostook,46.54,-67.86
04760,ME,Monticello,Aroostook,46.33,-67.89
04761,ME,New Limerick,Aroostook,46.12,-67.98
04762,ME,New Sweden,Aroostook,46.98,-68.11
04763,ME,Oakfield,Aroostook,46.1,-68.12
04764,ME,Oxbow,Aroostook,46.43,-68.52
04765,ME,Patten,Penobscot,46.08,-68.6
04766,ME,Perham,Aroostook,46.88,-68.23
04768,ME,Portage,Aroostook,46.8,-68.73
04769,ME,Presque Isle,Aroostook,46.68,-68.01
04772,ME,Saint Agatha,Aroostook,47.24,-68.33
04773,ME,Saint David,Aroostook,47.28,-68.24
04774,ME,Saint Francis,Aroostook,47.12,-69.02
04775,ME,Sheridan,Aroostook,46.66,-68.4
04776,ME,Sherman,Aroostook,45.86,-68.34
04777,ME,Stacyville,Penobscot,45.87,-68.48
04779,ME,Sinclair,Aroostook,47.13,-68.33
04780,ME,Smyrna Mills,Aroostook,46.2,-68.26
04781,ME,Wallagrass,Aroostook,47.15,-68.61
04783,ME,Stockholm,Aroostook,47.04,-68.17
04785,ME,Van Buren,Aroostook,47.14,-67.96
04786,ME,Washburn,Aroostook,46.79,-68.15
04787,ME,Westfield,Aroostook,46.56,-67.95
04841,ME,Rockland,Knox,44.11,-69.11
04843,ME,Camden,Knox,44.22,-69.08
04847,ME,Hope,Knox,44.24,-69.19
04848,ME,Islesboro,Waldo,44.3,-68.92
04849,ME,Lincolnville,Waldo,44.33,-69.05
04850,ME,Lincolnville Center,Waldo,44.3,-69.11
04851,ME,Matinicus,Knox,43.86,-68.88
04852,ME,Monhegan,Lincoln,43.77,-69.32
04853,ME,North Haven,Knox,44.15,-68.86
04854,ME,Owls Head,Knox,44.08,-69.08
04855,ME,Port Clyde,Knox,43.93,-69.26
04856,ME,Rockport,Knox,44.17,-69.11
04858,ME,South Thomaston,Knox,44.03,-69.14
04859,ME,Spruce Head,Knox,43.98,-69.12
04860,ME,Tenants Harbor,Knox,43.96,-69.23
04861,ME,Thomaston,Knox,44.08,-69.18
04862,ME,Union,Knox,44.23,-69.27
04863,ME,Vinalhaven,Knox,44.06,-68.84
04864,ME,Warren,Knox,44.13,-69.25
04865,ME,West Rockport,Knox,44.19,-69.15
04901,ME,Waterville,Kennebec,44.55,-69.62
04903,ME,Waterville,Kennebec,44.54,-69.63
04910,ME,Albion,Kennebec,44.51,-69.45
04911,ME,Anson,Somerset,44.78,-69.93
04912,ME,Athens,Somerset,44.97,-69.67
04915,ME,Belfast,Waldo,44.44,-69.02
04917,ME,Belgrade,Kennebec,44.48,-69.83
04918,ME,Belgrade Lakes,Kennebec,44.52,-69.88
04920,ME,Bingham,Somerset,45.1,-69.87
04921,ME,Brooks,Waldo,44.55,-69.13
04922,ME,Burnham,Waldo,44.67,-69.39
04923,ME,Cambridge,Somerset,45.03,-69.45
04924,ME,Canaan,Somerset,44.77,-69.56
04925,ME,Caratunk,Somerset,45.26,-69.92
04926,ME,China Village,Kennebec,44.48,-69.52
04927,ME,Clinton,Kennebec,44.67,-69.54
04928,ME,Corinna,Penobscot,44.94,-69.26
04929,ME,Detroit,Somerset,44.77,-69.3
04930,ME,Dexter,Penobscot,45.03,-69.3
04932,ME,Dixmont,Penobscot,44.69,-69.13
04933,ME,East Newport,Penobscot,44.82,-69.23
04935,ME,East Vassalboro,Kennebec,44.45,-69.61
04936,ME,Eustis,Franklin,45.31,-70.61
04937,ME,Fairfield,Somerset,44.61,-69.62
04938,ME,Farmington,Franklin,44.67,-70.12
04939,ME,Garland,Penobscot,45.04,-69.16
04940,ME,Farmington Falls,Franklin,44.62,-70.08
04941,ME,Freedom,Waldo,44.46,-69.29
04942,ME,Harmony,Somerset,45.08,-69.59
04943,ME,Hartland,Somerset,44.87,-69.5
04944,ME,Hinckley,Somerset,44.68,-69.63
04945,ME,Jackman,Somerset,45.59,-70.27
04947,ME,Kingfield,Franklin,45,-70.23
04949,ME,Liberty,Waldo,44.37,-69.34
04950,ME,Madison,Somerset,44.82,-69.83
04951,ME,Monroe,Waldo,44.59,-69.05
04952,ME,Morrill,Waldo,44.4,-69.14
04953,ME,Newport,Penobscot,44.85,-69.26
04954,ME,New Portland,Somerset,44.88,-70.09
04955,ME,New Sharon,Franklin,44.64,-70.01
04956,ME,New Vineyard,Franklin,44.8,-70.13
04957,ME,Norridgewock,Somerset,44.7,-69.84
04958,ME,North Anson,Somerset,44.9,-69.92
04961,ME,New Portland,Somerset,45.12,-70.14
04962,ME,North Vassalboro,Kennebec,44.49,-69.63
04963,ME,Oakland,Kennebec,44.55,-69.76
04964,ME,Oquossoc,Franklin,44.91,-70.78
04965,ME,Palmyra,Somerset,44.85,-69.36
04966,ME,Phillips,Franklin,44.83,-70.39
04967,ME,Pittsfield,Somerset,44.77,-69.41
04969,ME,Plymouth,Penobscot,44.77,-69.21
04970,ME,Rangeley,Franklin,44.97,-70.65
04971,ME,Saint Albans,Somerset,44.93,-69.39
04972,ME,Sandy Point,Waldo,44.51,-68.81
04973,ME,Searsmont,Waldo,44.36,-69.2
04974,ME,Searsport,Waldo,44.48,-68.93
04975,ME,Shawmut,Somerset,44.63,-69.59
04976,ME,Skowhegan,Somerset,44.78,-69.7
04978,ME,Smithfield,Somerset,44.62,-69.81
04979,ME,Solon,Somerset,44.94,-69.81
04981,ME,Stockton Springs,Waldo,44.53,-68.86
04982,ME,Stratton,Franklin,45.13,-70.43
04983,ME,Strong,Franklin,44.86,-70.26
04984,ME,Temple,Franklin,44.7,-70.24
04985,ME,West Forks,Somerset,45.34,-69.96
04986,ME,Thorndike,Waldo,44.56,-69.23
04987,ME,Troy,Waldo,44.69,-69.25
04988,ME,Unity,Waldo,44.61,-69.34
04989,ME,Vassalboro,Kennebec,44.42,-69.64
04992,ME,Farmington,Franklin,44.66,-70.15